<<<<<<< HEAD
Vendor,Username,ComputerName,ServiceTag
Dell Inc.,admin,DAL-INTERN,4Y6RFV1
Dell Inc.,Shawn.Conrad,DAL-SCONRAD-L1,HC3SH72
Dell Inc.,kisty.fairchild,DAL-KFAIRCHILD-,8T4SMC2
Dell Inc.,ron.bissonnette,DAL-RBISSON-L1,JMFSMC2
Dell Inc.,daniel.landreneau,DAL-DLANDRE-L1,91QVMC2
Dell Inc.,allie.day,FRISCO9232,17GZTZ1
Dell Inc.,hilary.barham,FRISCO9221,4WNMQ32
Dell Inc.,randall.richardson,FRISCO90,6998XW1
Dell Inc.,Katherine.Ausbie,DAL-KAUSBIE-L2,3998XW1
Dell Inc.,lisa.barham,DAL-LBARHAM-L1,4YJCL72
Dell Inc.,terry.robbins,FRISCO9012,4MFZTZ1
Dell Inc.,megan.sheehan,DAL-MGRAVLEY-L1,CJWDD12
Dell Inc.,justin.thomas,DAL-JTHOMAS-L1,DNVCL72
Dell Inc.,ker.thao,DAL-KTHAO-L1,HNVCL72
Dell Inc.,nicole.forzano,DAL-NFORZANO-L1,J1CXMC2
Dell Inc.,Stephen.DiStasi,DAL-SDISTASI-L1,2918Z52
Dell Inc.,Monica.Bragle,DAL-MBRAGLE-L1,5CDKD72
Dell Inc.,heather.leo,DAL-HLEO-L1,HTPVMC2
Dell Inc.,bibiana.ramirez,DAL-BRAMIREZ-L1,2MQMQ32
Dell Inc.,danielle.lissberger,DAL-DLISSBER-L1,DLVCL72
Dell Inc.,Kristi.Leon,DAL-KLEON-L1,7DPCL72
Dell Inc.,karen.billings,DAL-KBILLINGS,93DMQ32
Dell Inc.,Blaine.Smith,DAL-BSMITH-L1,8GY8K72
Dell Inc.,jason.holden,FRISCO9993,1H5XN12
Dell Inc.,Dellanina.Mendoza,DAL-TCHILD-L1,F5B8XW1
Dell Inc.,Lisa.Block,DAL-LBLOCK-L1,DB3SH72
Dell Inc.,carrie.schneider,MEREDITH-PC,7JB8XW1
Dell Inc.,Starlet.Franz,DAL-SFRANZ-L1,FKVCL72
Dell Inc.,kimberly.newton,DAL-KNEWTON-L1,5XD9K72
Dell Inc.,hanan.esaili,DAL-HESAILI-L1,6133R72
Dell Inc.,admin,DAL-PD-L1,6716NC2
Dell Inc.,admin,DAL-INTERN,4Y6RFV1
Dell Inc.,samantha.dorm,SAMANTHAD-PC,C6WDD12
Dell Inc.,allie.day,DAL-ADAY-L1,HC3SH72
Dell Inc.,karen.billings,DAL-KBILL-L2,DB3SH72
=======
Vendor,Username,ComputerName,ServiceTag
Dell Inc.,admin,DAL-INTERN,4Y6RFV1
Dell Inc.,Shawn.Conrad,DAL-SCONRAD-L1,HC3SH72
Dell Inc.,kisty.fairchild,DAL-KFAIRCHILD-,8T4SMC2
Dell Inc.,ron.bissonnette,DAL-RBISSON-L1,JMFSMC2
Dell Inc.,daniel.landreneau,DAL-DLANDRE-L1,91QVMC2
Dell Inc.,allie.day,FRISCO9232,17GZTZ1
Dell Inc.,hilary.barham,FRISCO9221,4WNMQ32
Dell Inc.,randall.richardson,FRISCO90,6998XW1
Dell Inc.,Katherine.Ausbie,DAL-KAUSBIE-L2,3998XW1
Dell Inc.,lisa.barham,DAL-LBARHAM-L1,4YJCL72
Dell Inc.,terry.robbins,FRISCO9012,4MFZTZ1
Dell Inc.,megan.sheehan,DAL-MGRAVLEY-L1,CJWDD12
Dell Inc.,justin.thomas,DAL-JTHOMAS-L1,DNVCL72
Dell Inc.,ker.thao,DAL-KTHAO-L1,HNVCL72
Dell Inc.,nicole.forzano,DAL-NFORZANO-L1,J1CXMC2
Dell Inc.,Stephen.DiStasi,DAL-SDISTASI-L1,2918Z52
Dell Inc.,Monica.Bragle,DAL-MBRAGLE-L1,5CDKD72
Dell Inc.,heather.leo,DAL-HLEO-L1,HTPVMC2
Dell Inc.,bibiana.ramirez,DAL-BRAMIREZ-L1,2MQMQ32
Dell Inc.,danielle.lissberger,DAL-DLISSBER-L1,DLVCL72
Dell Inc.,Kristi.Leon,DAL-KLEON-L1,7DPCL72
Dell Inc.,karen.billings,DAL-KBILLINGS,93DMQ32
Dell Inc.,Blaine.Smith,DAL-BSMITH-L1,8GY8K72
Dell Inc.,jason.holden,FRISCO9993,1H5XN12
Dell Inc.,Dellanina.Mendoza,DAL-TCHILD-L1,F5B8XW1
Dell Inc.,Lisa.Block,DAL-LBLOCK-L1,DB3SH72
Dell Inc.,carrie.schneider,MEREDITH-PC,7JB8XW1
Dell Inc.,Starlet.Franz,DAL-SFRANZ-L1,FKVCL72
Dell Inc.,kimberly.newton,DAL-KNEWTON-L1,5XD9K72
Dell Inc.,hanan.esaili,DAL-HESAILI-L1,6133R72
Dell Inc.,admin,DAL-PD-L1,6716NC2
Dell Inc.,admin,DAL-INTERN,4Y6RFV1
Dell Inc.,samantha.dorm,SAMANTHAD-PC,C6WDD12
Dell Inc.,allie.day,DAL-ADAY-L1,HC3SH72
Dell Inc.,karen.billings,DAL-KBILL-L2,DB3SH72
>>>>>>> 'init'
